,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
0,1,2017-11-10,@,Hawaii,L,70.0,82.0,21.0,57.0,0.368,10.0,26.0,0.385,18.0,24.0,0.75,8.0,25.0,10.0,10.0,3.0,14.0,33.0,,25.0,51.0,0.49,4.0,20.0,0.2,28.0,42.0,0.667,9.0,36.0,20.0,7.0,2.0,15.0,17.0,Arkansas-Pine Bluff
1,2,2017-11-12,N,Troy,L,57.0,81.0,18.0,60.0,0.3,7.0,26.0,0.26899999999999996,14.0,19.0,0.737,11.0,24.0,9.0,10.0,2.0,13.0,17.0,,29.0,57.0,0.509,10.0,25.0,0.4,13.0,18.0,0.722,14.0,45.0,19.0,8.0,3.0,20.0,18.0,Arkansas-Pine Bluff
2,3,2017-11-13,N,North Dakota,L,71.0,80.0,26.0,50.0,0.52,7.0,14.0,0.5,12.0,16.0,0.75,6.0,30.0,13.0,9.0,6.0,24.0,24.0,,22.0,61.0,0.361,5.0,21.0,0.23800000000000002,31.0,38.0,0.816,13.0,33.0,16.0,16.0,2.0,12.0,17.0,Arkansas-Pine Bluff
3,4,2017-11-18,@,SMU,L,37.0,72.0,13.0,46.0,0.28300000000000003,3.0,21.0,0.14300000000000002,8.0,14.0,0.5710000000000001,4.0,19.0,5.0,6.0,3.0,13.0,22.0,,25.0,49.0,0.51,9.0,23.0,0.391,13.0,23.0,0.565,8.0,40.0,24.0,5.0,2.0,10.0,16.0,Arkansas-Pine Bluff
4,5,2017-11-20,@,Air Force,L,47.0,57.0,19.0,48.0,0.396,5.0,19.0,0.263,4.0,8.0,0.5,4.0,27.0,8.0,8.0,5.0,13.0,24.0,,15.0,50.0,0.3,6.0,22.0,0.273,21.0,27.0,0.778,10.0,37.0,11.0,5.0,1.0,12.0,12.0,Arkansas-Pine Bluff
5,6,2017-11-22,N,Texas State,L,54.0,71.0,19.0,43.0,0.442,2.0,11.0,0.182,14.0,20.0,0.7,7.0,22.0,7.0,3.0,2.0,12.0,22.0,,25.0,51.0,0.49,8.0,19.0,0.42100000000000004,13.0,20.0,0.65,13.0,32.0,14.0,5.0,2.0,13.0,20.0,Arkansas-Pine Bluff
6,7,2017-11-24,@,Pacific,L,69.0,78.0,23.0,62.0,0.371,9.0,36.0,0.25,14.0,21.0,0.667,7.0,27.0,13.0,9.0,7.0,14.0,31.0,,20.0,53.0,0.377,2.0,11.0,0.182,36.0,46.0,0.7829999999999999,14.0,46.0,12.0,7.0,1.0,20.0,20.0,Arkansas-Pine Bluff
7,8,2017-11-25,N,Canisius,L,58.0,81.0,21.0,57.0,0.368,2.0,12.0,0.16699999999999998,14.0,19.0,0.737,9.0,18.0,8.0,6.0,2.0,8.0,8.0,,29.0,51.0,0.569,12.0,23.0,0.522,11.0,13.0,0.846,12.0,39.0,21.0,5.0,7.0,19.0,16.0,Arkansas-Pine Bluff
8,9,2017-12-02,@,Santa Clara,L,57.0,72.0,21.0,37.0,0.568,5.0,10.0,0.5,10.0,16.0,0.625,1.0,24.0,11.0,7.0,0.0,20.0,18.0,,23.0,48.0,0.479,12.0,26.0,0.462,14.0,17.0,0.8240000000000001,5.0,24.0,16.0,12.0,0.0,15.0,18.0,Arkansas-Pine Bluff
9,10,2017-12-09,@,Oregon State,L,58.0,85.0,21.0,46.0,0.457,8.0,18.0,0.444,8.0,10.0,0.8,5.0,21.0,12.0,7.0,3.0,19.0,20.0,,29.0,57.0,0.509,5.0,15.0,0.33299999999999996,22.0,25.0,0.88,11.0,31.0,20.0,11.0,2.0,11.0,14.0,Arkansas-Pine Bluff
