,G,Date,Site,Opp,W/L,score_Tm,score_Opp,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,blank,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,Team
0,1,2017-11-10,,Columbia,W,75.0,60.0,27.0,67.0,0.40299999999999997,7.0,32.0,0.21899999999999997,14.0,22.0,0.636,15.0,43.0,11.0,4.0,2.0,6.0,16.0,,23.0,55.0,0.418,8.0,24.0,0.33299999999999996,6.0,12.0,0.5,3.0,28.0,10.0,3.0,1.0,13.0,20.0,Villanova NCAA
1,2,2017-11-14,,Nicholls State,W,113.0,77.0,42.0,73.0,0.575,13.0,30.0,0.433,16.0,23.0,0.696,8.0,44.0,28.0,8.0,13.0,15.0,16.0,,27.0,70.0,0.386,9.0,24.0,0.375,14.0,23.0,0.609,5.0,24.0,15.0,9.0,6.0,16.0,20.0,Villanova NCAA
2,3,2017-11-17,N,Lafayette,W,104.0,57.0,38.0,61.0,0.623,16.0,30.0,0.5329999999999999,12.0,15.0,0.8,6.0,34.0,21.0,10.0,2.0,14.0,12.0,,22.0,57.0,0.386,7.0,29.0,0.24100000000000002,6.0,8.0,0.75,3.0,22.0,15.0,5.0,5.0,18.0,17.0,Villanova NCAA
3,4,2017-11-22,N,Western Kentucky,W,66.0,58.0,26.0,57.0,0.456,7.0,22.0,0.318,7.0,9.0,0.778,11.0,31.0,12.0,11.0,7.0,14.0,14.0,,24.0,54.0,0.444,7.0,11.0,0.636,3.0,4.0,0.75,5.0,25.0,10.0,6.0,1.0,16.0,10.0,Villanova NCAA
4,5,2017-11-23,N,Tennessee,W,85.0,76.0,23.0,50.0,0.46,6.0,17.0,0.353,33.0,37.0,0.892,9.0,28.0,11.0,11.0,4.0,17.0,24.0,,29.0,64.0,0.45299999999999996,6.0,20.0,0.3,12.0,19.0,0.632,13.0,28.0,17.0,6.0,3.0,14.0,28.0,Villanova NCAA
5,6,2017-11-24,N,Northern Iowa,W,64.0,50.0,24.0,56.0,0.429,8.0,25.0,0.32,8.0,11.0,0.727,7.0,28.0,10.0,6.0,4.0,3.0,6.0,,22.0,53.0,0.415,6.0,23.0,0.261,0.0,0.0,,7.0,36.0,7.0,2.0,5.0,11.0,14.0,Villanova NCAA
6,7,2017-11-29,,Penn,W,90.0,62.0,33.0,58.0,0.569,8.0,16.0,0.5,16.0,19.0,0.8420000000000001,1.0,30.0,16.0,8.0,5.0,7.0,18.0,,24.0,58.0,0.414,6.0,20.0,0.3,8.0,13.0,0.615,4.0,29.0,15.0,3.0,3.0,13.0,18.0,Villanova NCAA
7,8,2017-12-02,@,St. Joseph's,W,94.0,53.0,33.0,65.0,0.508,19.0,35.0,0.5429999999999999,9.0,12.0,0.75,13.0,48.0,24.0,4.0,5.0,10.0,15.0,,21.0,64.0,0.32799999999999996,5.0,24.0,0.20800000000000002,6.0,8.0,0.75,7.0,24.0,8.0,5.0,3.0,9.0,12.0,Villanova NCAA
8,9,2017-12-05,N,Gonzaga,W,88.0,72.0,30.0,58.0,0.517,10.0,21.0,0.47600000000000003,18.0,27.0,0.667,8.0,27.0,14.0,6.0,3.0,11.0,21.0,,25.0,52.0,0.48100000000000004,6.0,22.0,0.273,16.0,21.0,0.762,4.0,23.0,13.0,4.0,2.0,19.0,23.0,Villanova NCAA
9,10,2017-12-10,,La Salle,W,77.0,68.0,22.0,51.0,0.431,6.0,20.0,0.3,27.0,35.0,0.7709999999999999,9.0,35.0,15.0,6.0,3.0,11.0,12.0,,28.0,64.0,0.43799999999999994,8.0,22.0,0.364,4.0,5.0,0.8,8.0,30.0,16.0,7.0,1.0,12.0,24.0,Villanova NCAA
